Cluster;15;30;22;3;8;18;14;7;12;31;5;4;2;19;13;17;28;20;21;1;25;10;24;29;11;27;9;6;26;16;23
DCs -> pDCs;308;0;0;0;0;0;0;0;0;15,0;8,00;0;0;0;18,0;0;0;0;0;0;0;0;0;17,0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;10095;0;0;0;0;260;3544;0;121;8,00;0;0;34,0;126;0;297;0;8,00;0;1,00;0;0;0;1,00;2,00;1,00;2,00;2,00;1,00;0
CD7 -> CD56bright;0;0;273;0;47,0;31,0;0;0;111;0;0;10,0;0;0;0;66,0;0;0;0;0;0;7,00;0;0;0;0;0;0;0;0;0
DCs -> mDCs;24,0;49,0;0;1110;0;0;107;63,0;0;89,0;35,0;0;432;130;161;0;28,0;49,0;9,00;11,0;0;0;8,00;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;3,00;0;2,00;2535;695;0;0;0;0;0;787;77,0;0;0;33,0;65,0;12,0;0;0;13,0;145;0;1,00;21,0;24,0;3,00;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;0;0;3,00;1644;1905;0;2,00;2,00;0;0;0;76,0;0;2,00;429;32,0;3,00;0;0;238;0;0;0;132;85,0;53,0;0;0;0;0
Monocytes -> CD14posCD16pos;0;274;0;43,0;3,00;1,00;518;423;0;1,00;14,0;0;2,00;75,0;36,0;0;0;0;108;18,0;0;0;1,00;0;0;0;0;0;0;0;0
DCs -> dnDCs;0;0;0;0;0;0;0;0;0;125;85,0;0;2,00;0;97,0;0;71,0;1,00;0;26,0;0;0;2,00;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;1,00;12,0;0;237;2,00;8,00;82,0;7,00;0;4,00;5,00;1,00;32,0;156;7,00;0;0;61,0;30,0;5,00;0;0;33,0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;0;1,00;77,0;19,0;0;0;0;0;0;59,0;1,00;0;0;6,00;5,00;0;0;0;1,00;17,0;0;0;1,00;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;0;0;25,0;55,0;0;0;0;0;0;0;0;0;0;38,0;1,00;0;0;0;11,0;0;0;0;2,00;0;2,00;0;0;0;0
