Cluster;17;27;8;2;1;28;13;31;30;26;18;3;24;4;25;21;14;16;7;6;23;9;29;11;5;10;12;15;19;20;22
DCs -> pDCs;363;0;3.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;14465;2.00;0;0;0;0;1.00;14.0;0;0;0;0;0;0;3.00;0;0;0;0;0;1.00;16.0;1.00;0;0;0;0;0;0;0
DCs -> dnDCs;6.00;0;388;0;0;0;0;0;0;0;0;0;5.00;0;5.00;4.00;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;0;0;4063;36.0;0;0;0;0;0;0;317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;0;0;102;4224;0;31.0;0;0;0;248;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> mDCs;2.00;9.00;13.0;0;0;1695;0;139;398;5.00;0;0;14.0;0;23.0;7.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56bright;0;0;0;57.0;62.0;0;348;0;0;0;76.0;1.00;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;13.0;0;8.00;5.00;7.00;0;550;0;81.0;0;0;17.0;0;0;0;0;0;0;0;1.00;1.00;0;0;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;1155;0;4.00;1.00;0;0;356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0;0;0;0;0;0;0;0
CD7 -> CD56negCD16pos;2.00;0;0;84.0;454;0;0;0;1.00;0;0;14.0;1.00;0;1.00;0;0;2.00;0;1.00;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;0;163;0;0;1.00;0;0;0;0;20.0;0;3.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;0;1.00;106;0;14.0;0;0;0;12.0;0;0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
