Cluster;27;3;11;18;29;19;26;1;22;31;8;24;30;9;16;23;17;2;12;14;4;5;6;7;10;13;15;20;21;25;28
DCs -> pDCs;362;0;4.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;14451;2.00;0;0;0;0;27.0;5.00;0;0;0;0;0;0;0;15.0;1.00;1.00;1.00;0;0;0;0;0;0;0;0;0;0;0
DCs -> dnDCs;1.00;0;392;0;0;0;0;0;9.00;0;3.00;3.00;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;0;0;4403;9.00;4.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;0;7.00;178;0;2.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;0;0;409;0;4142;55.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56bright;0;0;0;41.0;21.0;109;372;0;0;0;0;0;2.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> mDCs;2.00;14.0;9.00;0;0;0;0;1854;403;0;8.00;15.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;0;1.00;0;2.00;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;717;0;4.00;0;1.00;0;794;0;0;0;0;0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;7.00;0;8.00;0;5.00;0;566;0;81.0;14.0;0;0;0;1.00;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56negCD16pos;2.00;0;0;136;0;416;3.00;1.00;1.00;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
