Cluster;16;18;1;8;2;15;9;17;27;13;29;26;25;11;23;7;10;12;30;28;5;20;21;22;31;3;4;6;14;19;24
DCs -> pDCs;359;0;0;0;1.00;0;0;0;0;0;3.00;3.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;4552;0;0;0;20.0;0;34.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;0;13036;0;5.00;0;1.00;0;0;0;0;102;0;0;1341;0;1.00;0;5.00;1.00;5.00;2.00;2.00;1.00;1.00;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;1.00;0;180;0;0;0;0;6.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> dnDCs;1.00;0;0;0;283;0;0;0;0;0;107;9.00;0;0;0;6.00;2.00;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56bright;0;137;0;20.0;0;352;0;15.0;20.0;0;0;0;0;0;0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> mDCs;0;0;1.00;0;0;0;1400;0;0;53.0;4.00;424;401;0;1.00;19.0;0;2.00;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;137;0;9.00;0;0;0;2349;1920;0;0;0;0;0;0;0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;7.00;3.00;0;0;0;264;3.00;4.00;305;0;0;1.00;82.0;0;13.0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;2.00;1110;0;0;0;44.0;1.00;5.00;352;0;3.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56negCD16pos;2.00;449;0;0;0;0;0;44.0;62.0;0;0;2.00;0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;106;0;12.0;0;16.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
