Cluster;24;2;25;31;23;11;29;5;6;1;9;12;36;15;22;14;10;35;13;8;18;17;26;28;16;3;32;4;7;19;20;21;27;30;33;34
DCs -> pDCs;619;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;22732;1;0;0;0;0;0;260;20;30;0;0;0;0;0;3;0;0;0;0;0;0;1;0;21;0;1;1;0;0;0;0;0;0;0
DCs -> dnDCs;7;4;657;0;0;0;0;0;0;0;5;3;0;5;0;3;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;0;0;6617;36;0;1;0;0;0;0;0;488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;0;0;312;7036;0;63;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> mDCs;3;24;17;0;0;2406;0;407;0;1;641;5;0;17;0;52;6;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56bright;0;0;0;65;167;0;619;0;0;0;0;0;2;0;17;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;2;0;0;5;1;0;790;19;65;0;140;0;36;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;728;0;1;1;0;0;416;680;559;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56negCD16pos;6;0;1;130;713;1;0;5;0;0;0;0;22;2;0;0;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;0;246;1;0;1;0;0;0;0;0;36;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;0;2;200;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
