Cluster;35;33;25;27;17;8;4;34;23;30;12;16;36;7;37;19;6;29;1;10;22;18;24;31;5;13;14;28;11;26;20;21;3;9;2;15;32;38
DCs -> pDCs;598;0;0;0;0;0;0;0;32.0;0;0;28.0;0;3.00;14.0;0;0;0;0;0;0;0;0;0;29.0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;1.00;16165;0;0;0;7881;331;0;114;15.0;0;103;0;5.00;469;0;0;3943;0;1.00;1.00;2.00;4.00;3.00;1.00;0;1.00;3.00;2.00;2.00;1.00;0;4.00;4.00;3.00;2.00;0;0
DCs -> mDCs;34.0;67.0;2263;3.00;0;0;160;0;220;343;0;296;0;40.0;150;666;0;129;108;0;0;0;0;17.0;1.00;23.0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;1.00;2.00;3561;1740;0;0;29.0;0;0;520;0;1518;0;71.0;111;0;0;14.0;72.0;442;415;48.0;0;0;0;260;50.0;30.0;45.0;3.00;29.0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;0;2.00;2102;3211;0;0;405;0;0;1922;0;0;0;21.0;58.0;58.0;1.00;7.00;776;0;0;80.0;0;0;0;0;294;140;223;131;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;400;101;1.00;0;435;870;0;1.00;152;1.00;46.0;0;28.0;0;3.00;0;802;3.00;0;0;0;0;127;0;3.00;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56bright;0;0;0;132;53.0;0;0;344;0;0;286;0;34.0;0;2.00;2.00;148;0;0;27.0;2.00;0;0;0;12.0;0;0;1.00;0;0;0;0;0;0;0;0;0
DCs -> dnDCs;0;0;0;1.00;0;0;0;0;259;0;0;251;0;167;240;3.00;0;0;2.00;0;0;0;0;1.00;0;3.00;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;27.0;434;4.00;8.00;0;144;0;3.00;359;6.00;15.0;0;9.00;4.00;53.0;0;12.0;129;0;0;0;0;50.0;0;55.0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;1.00;102;33.0;0;0;5.00;0;0;23.0;0;111;0;5.00;2.00;0;0;0;4.00;37.0;24.0;3.00;0;0;0;25.0;3.00;1.00;3.00;0;3.00;0;0;0;0;0;0
CD7 -> CD56negCD16pos;4.00;0;0;264;349;0;0;9.00;1.00;1.00;125;1.00;5.00;1.00;25.0;27.0;2.00;0;7.00;44.0;8.00;19.0;57.0;0;0;0;4.00;54.0;39.0;38.0;32.0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;0;38.0;59.0;0;0;41.0;0;0;69.0;0;0;0;2.00;0;9.00;0;0;44.0;0;0;1.00;0;0;0;0;4.00;1.00;5.00;5.00;0;0;0;0;0;0;0
