Cluster;29;28;4;31;9;23;18;5;7;30;8;6;14;34;17;12;15;35;16;11;24;2;37;13;3;21;1;32;38;25;27;10;19;20;22;26;33;36
DCs -> pDCs;701;1.00;0;0;0;0;0;0;0;0;0;0;0;0;2.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> dnDCs;10.0;885;1.00;0;0;0;0;1.00;0;0;2.00;0;0;1.00;0;3.00;4.00;0;11.0;7.00;0;0;2.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;3.00;26647;0;0;0;0;2337;0;0;34.0;0;0;0;0;0;0;0;0;1.00;0;0;0;0;35.0;1.00;0;0;0;2.00;1.00;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;0;0;8288;0;1.00;30.0;0;0;53.0;0;0;0;589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> mDCs;7.00;25.0;21.0;0;3256;0;0;2.00;96.0;0;821;0;5.00;0;185;31.0;62.0;0;3.00;6.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56bright;0;0;0;109;0;679;190;0;0;61.0;0;0;0;1.00;0;0;0;1.00;2.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;0;0;132;0;60.0;5857;0;0;3377;0;0;0;0;0;0;0;0;5.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;0;61.0;2.00;1.00;0;0;1939;475;1.00;0;491;2.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;1.00;0;11.0;229;0;8.00;32.0;612;3.00;0;213;169;0;0;32.0;0;0;0;0;0;0;0;0;0;0;1.00;1.00;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56negCD16pos;5.00;0;0;171;1.00;0;41.0;0;0;861;0;0;0;28.0;0;3.00;0;0;0;0;0;3.00;0;2.00;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;0;350;0;0;2.00;0;0;5.00;0;0;0;23.0;0;0;0;5.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;0;2.00;0;19.0;140;0;0;114;0;0;0;0;0;0;0;0;1.00;0;2.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
