Cluster;18;1;19;3;8;14;10;6;13;7;12;11;15;4;2;5;9;16;17
DCs -> pDCs;88.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;2755;0;0;0;0;0;47.0;0;7.0;0;0;3.0;0;0;0;0;0;0
DCs -> dnDCs;1.0;0;84.0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;0;0;840;40.0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;0;0;15.0;892;5.0;0;0;2.0;0;0;0;0;0;1.0;0;0;0;0
CD7 -> CD56bright;0;0;0;7.0;27.0;77.0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> mDCs;0;2.0;6.0;0;0;0;252;34.0;0;83.0;2.0;41.0;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;56.0;0;0;0;0;0;244;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;2.0;0;0;1.0;0;0;116;0;0;26.0;7.0;1.0;0;0;0;0;0;0
CD7 -> CD56negCD16pos;1.0;0;0;18.0;61.0;0;0;0;25.0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;0;33.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;0;1.0;21.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0
