Cluster;15;6;2;5;19;17;7;8;9;16;3;4;13;12;14;18;1;10;11
CD7 -> CD56bright;87.0;0;0;0;15.0;6.0;0;0;0;1.0;0;2.0;0;0;0;0;0;0;0
DCs -> pDCs;0;54.0;34.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;0;1476;1289;0;0;0;0;43.0;0;0;0;1.0;1.0;1.0;1.0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;2.0;0;14.0;1.0;626;272;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;1.0;21.0;3.0;612;40.0;5.0;0;1.0;168;1.0;30.0;0;0;0;0;0;0;0
DCs -> mDCs;0;9.0;65.0;119;0;0;113;3.0;105;0;6.0;0;0;0;0;0;0;0;0
DCs -> dnDCs;0;0;66.0;0;0;0;1.0;19.0;0;0;1.0;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;0;2.0;31.0;1.0;0;23.0;0;81.0;0;14.0;0;1.0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;0;35.0;171;0;0;2.0;0;92.0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;0;0;19.0;3.0;0;0;0;10.0;0;4.0;0;0;0;0;0;0;0
CD7 -> CD56negCD16pos;0;1.0;15.0;1.0;68.0;15.0;4.0;0;0;1.0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;0;0;11.0;12.0;0;0;0;0;0;0;0;0;0;0;0;0;0
