Cluster;1;8;11;3;7;12;2;9;5;14;6;4;10;13;15
DCs -> pDCs;88.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;2807;0;0;0;0;1.00;0;0;2.00;2.00;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;0;845;0;0;33.0;3.00;0;0;1.00;0;0;0;0;0
DCs -> dnDCs;0;0;0;84.0;0;0;0;0;3.00;0;0;0;0;0;0
DCs -> mDCs;0;68.0;0;14.0;328;0;0;2.00;8.00;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;0;1.00;0;0;466;448;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;1.00;0;0;120;2.00;0;26.0;4.00;0;0;0;0;0;0
CD7 -> CD56bright;0;0;7.00;0;0;17.0;87.0;0;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;239;0;0;61.0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56negCD16pos;1.00;0;22.0;0;0;43.0;39.0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;35.0;0;0;0;1.00;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;1.00;0;0;0;22.0;0;0;0;0;0;0;0;0
