Cluster;15;14;10;4;8;6;17;3;21;12;22;2;9;13;19;18;11;5;16;1;7;20
CD7 -> CD56bright;168;0;0;37,0;0;0;3,00;0;0;0;2,00;0;0;0;2,00;0;0;0;0;0;0;0
DCs -> pDCs;0;122;0;0;8,00;3,00;0;0;0;0;0;13,0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;0;3227;0;2351;1,00;1,00;143;0;20,0;0;0;0;0;0;0;4,00;1,00;1,00;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;1,00;0;1,00;1282;107;0;67,0;0;12,0;0;236;0;0;1,00;67,0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;14,0;0;2,00;1250;53,0;0;517;0;5,00;0;0;0;0;1,00;0;0;0;0;0;0;0;0
DCs -> dnDCs;0;0;0;0;94,0;60,0;0;0;1,00;0;0;0;12,0;1,00;0;0;0;0;0;0;0;0
DCs -> mDCs;0;26,0;132;0;101;15,0;0;331;203;36,0;0;0;0;11,0;0;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;0;303;1,00;35,0;9,00;0;192;3,00;71,0;0;0;0;1,00;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;0;12,0;3,00;3,00;4,00;4,00;143;36,0;58,0;0;0;0;18,0;0;1,00;0;0;0;0;0;0
CD7 -> CD56negCD16pos;0;2,00;2,00;126;41,0;0;42,0;0;5,00;0;5,00;0;0;0;1,00;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;0;50,0;2,00;0;6,00;0;0;0;10,0;0;0;0;5,00;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;2,00;0;0;24,0;1,00;0;24,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
