Cluster;14;6;10;21;17;15;19;20;24;8;22;4;16;1;12;13;2;3;5;7;9;11;18;23
DCs -> pDCs;146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> dnDCs;0;161;0;0;0;0;0;5.00;1.00;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;0;5744;0;0;0;0;0;0;0;0;0;2.00;1.00;1.00;1.00;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;0;0;1700;70.0;0;3.00;0;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;0;0;59.0;1772;0;11.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> mDCs;1.00;3.00;4.00;0;0;680;0;155;3.00;9.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56bright;0;0;0;10.0;44.0;0;158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;0;5.00;0;0;68.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;0;3.00;1.00;5.00;231;0;0;34.0;7.00;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;0;0;2.00;0;49.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;0;426;1.00;0;187;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56negCD16pos;2.00;1.00;0;61.0;157;1.00;0;0;0;1.00;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0
