Cluster;2;6;11;1;19;4;18;14;3;9;20;5;8;17;15;7;10;12;13;16;21
DCs -> pDCs;144;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14CD16neg;0;5740;0;1;0;0;0;0;1;0;0;0;6;0;1;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cneg;0;0;1705;68;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cneg;0;0;1;1841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DCs -> mDCs;0;9;1;0;661;3;19;0;152;2;3;5;0;0;0;0;0;0;0;0;0
DCs -> dnDCs;0;0;1;0;0;110;0;51;4;0;1;1;0;0;0;0;0;0;0;0;0
Monocytes -> CD14loCD16pos;0;1;1;7;36;0;197;0;0;34;6;0;0;0;0;0;0;0;0;0;0
Monocytes -> CD14posCD16pos;0;434;1;0;0;0;179;0;0;1;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56bright;0;0;13;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD7 -> CD56negCD16pos;2;0;54;166;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57posNKG2Cpos;0;0;72;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD56dimCD16pos -> CD57negNKG2Cpos;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
